Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x927cdd06f2f7675078745547c8533bccae6cb17efe3b8b1a917bc0dc62f4e8fd

Moon Base (Top Place)
https://polygonscan.com/tx/0x45ebb9a191e949af6b50602f320b6c5596ecd59c0c85085277cb2b7b5f2b9733

Side Comp Celeb Card - [Most Investments with 1 Hard Fork]
https://etherscan.io/tx/0x7a532a7b77663de893ba2d1f5a2370181e0bdf28e0690596aea9c7f3e9276fa5
https://etherscan.io/tx/0xe678e7e3ff99740b4ea47c675138a3e14c9a0b369de731671b220450bdeee992
https://etherscan.io/tx/0xf65d3f0b2aa136acd3abc6973c55cf99eea557f84a0898dded3f39f7360e9ec4

TOKEN ALLOCCATION
0x5612B0471864193716d19C85094f773C34a90340 : 2,006.73
0xb828812ba9cdB61790dC4238C386294640FA9989 : 1,865.24
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 1,768.24
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 1,764.54
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 1,728.67
0x88AA89C847204601495586AB9b082Ab67f63CfB9 : 1,660.08
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 1,602.28
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 1,555.25
0x25D311fcb8Fe7016b657bADF38D207C550E9552a : 1,441.96
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 1,379.39
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 1,238.25
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 1,232.9
0x124228a9bF6d126C8FA89Bb9AD236aDF578F8957 : 1,230.02
0x9Fe6561E0CB82A9Bca5E30E6C5ffa722035E1F2E : 1,216.93
0x5A5736B81f4045Be18Bf595dF4acdaB550575036 : 1,146.3
0x5012D3291A9188E95C204D29aD2F94E783A1f8fB : 1,134.83
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 1,125.8
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 1,090.09
0x5d03622119E61720e372F47Ed4F91819654D814c : 1,056.59
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 1,002.37
0x53cd6A24BeA771C2b2F72B197DA69f41deDbEda5 : 1,002.33
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 920.5
0x1b5A051911190272375E31fbE34e3DcECe979596 : 903.28
0x67b3591D03FA12264454b0D1918a922E4A92e46B : 851.54
0xCef7C81e338Cd65Fd1c1Ca571f2c35E6Ecd2E5CE : 829.76
0xf64688E4e220f613176f3233Eb8d5C1a369eD138 : 692.67
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 657.92
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 630.71
0x3CBc1b5116Fc41a1755d12105408Da42D5952972 : 629.5
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 622.62
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 622.23
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 574.4
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 560.64
0x5Ea0C4694A1E2EE37945BfE13Ceed42594b58AD6 : 551.57
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 537.47
0x5accFC6D9B0760325347D60f6B0F1833074c3C00 : 501.87
0x6896D7966CAF8006B5378CBfc98a2902f6d64487 : 492.56
0x72d59fa86133D75E5E7C4F32AA90516BDBD605A1 : 477.47
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 466.82
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 465.09
0x3c77CaB626403f20E63354715251bf49748CdD0a : 446.44
0xD1a72129f5F0b9926786dfDCcac9bB2CfB5560e0 : 406.12
0xf5B385f0de26ec86CEd3bEe14E0E95121385dA72 : 358.86
0x95DFc6eCFE5556428f1DcC5a3EfE99617beC2D1A : 354.43
0x0E2Fa9602A778438dd12Fe958573ED7A7845dC31 : 350.6
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 336.37
0x8b039453422d9dc724Bd3c5e7E4911827224D80E : 324.69
0x07Bcb22558932C1f04024e1B972fd1F3D693a52f : 318.67
0x5dF16Bb9b061BfD263Ea97c3A2E1758c41e4F6b5 : 315.82
0xa5692e63c098eB87F8fc2EF49692F2f6FA14D6eb : 293.72
0x685269f0262BA5Ac81EbaB85245cCA51E18299C1 : 289.58
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 287.6
0xeE42298Cd1f99721121b15C60e42544F026A6b06 : 272.68
0x4d71E6D286B85346D06FEeEE5233C8c68d872F9e : 258.28
0xd201EB28904C06Ed1dfD7E8176Bdc6D34af9168C : 253.01
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 250.09
0x02F9E6E2e1c788883b1D80781c56614d21399586 : 249.57
0x2afFdB3d476E8556224D37996490E8d8b8b8c3Fd : 233.14
0xFEe740FB924b7E680581593Db068aC0dc9CE9250 : 227.11
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 225.73
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 214.31
0xC1DC269e8473f7DEE2441C7061653771A046ddC3 : 213.88
0x714d5A6cD567323b1c473d17cCa258ac59D58f84 : 212.88
0x21B96812C00F81f66ae1293f68D762a20935326d : 204.12
0xaCAe03CDbc0aF96A43F97dFD40E5EaeB0Ebf2E2F : 200.71
0x1b380E50653E8AF991Fc50Aa6CE9259c52bb5b72 : 186.45
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 166.21
0xbB2211E2b4971BD7483bB340A03B19Fb7Db3b5a1 : 152.34
0x20dF9198f40dFe883EFBa92Ed58fc986838fd175 : 152.25
