MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0xec9e38c6ee14dc523a966ba3e7db02697fb5a329e1cc4f45cfb3a572db856af5

Moon Base (Top Place)
https://polygonscan.com/tx/0xceb70c96b83ff66aa9a0812039760053cd15e80d64a859078723db2d927f6a8a

Celeb Evangelist NFT (Most ALL Investments with 1 Hard Fork)
https://etherscan.io/tx/0x53001e775c765618ff10de95ede36d92b9d74e6af812e2b39a5e26e419276e28
https://etherscan.io/tx/0x7ad7c63e4a79c6aea63779298edbbfc4d51ceb835344cc2e3d0eda97e2f00a18
https://etherscan.io/tx/0x4e5da5a90b62eadea74d919efb0209995d632b9c8244da27583509777285927f

TOKEN DISTRIBUTION
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 2,500
0x979AAC5DBeeed98bdf84d8DeDA5AEC3188129a3B : 2,500
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 2,500
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x426605e881F6Dd25454DACb7a2345aE0b92B2354 : 2,500
0x50d084867477065f9A3c279eB6DcEA55A142ae81 : 2,500
0x60364DFeB197e00138711155f47eC2c5cC6698E9 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x98edEe1C13B73f26494eA1a4C998B560c1737cCf : 2,500
0xDc917e79F85Ae4Ad46284Efdec520b21A5a52E7f : 2,500
0x305B359001445f52911a3CD7e30c9883125fd46a : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,490.29
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,460.82
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,387.92
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,361.85
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,314.44
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 2,288.28
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,268.03
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,267.21
0x840373D882bd4F674FFe49e1D3e511C2739431bc : 2,259.59
0x685269f0262BA5Ac81EbaB85245cCA51E18299C1 : 2,255.57
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,213.82
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,196.88
0xC6DCaAb1B6A5CcD5c20dCE60051EbEE82378165D : 2,156.35
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,129.14
0xfD7c9b587a0AEE1CCC9378D068cF2a23cBa47d1a : 2,108.2
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 2,084.59
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,066.21
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 1,968.43
0x4B5663BA11211f0CE3Faa16961e17323FbaE4AE3 : 1,967.54
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 1,964.54
0x2cAA7C37d4978336b73d04Cf3bC2EBD1BA61C405 : 1,962.65
0x341f00c1b2B236EF26527590EC62F5960A356052 : 1,947.67
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 1,918.32
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 1,878.19
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 1,875.96
0x9B33AdFa30D6bf19f213047D5DDA69a5C5229C51 : 1,840.01
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 1,799.1
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 1,783.75
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 1,775.08
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 1,762.41
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 1,760.89
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 1,715.18
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 1,635.37
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 1,617.27
0x8F550DCafA9F5108e6A81260AB4EDCD225f4b96C : 1,598.17
0x1B9b9877cF01a149A12513Ee44259BA6d5510C01 : 1,558.54
0xF3e0735EC479158F88C8a681018C860A5B53dA65 : 1,558.13
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 1,522.35
0x9e1EA9a3D5fC5e85f6F7d0A202BFCc3e3FBaeDc5 : 1,513.82
0xB648A452D4c329fDeB1f8f302e7Ae1a11ad0e420 : 1,505.05
0x9F858135e4AB06d6ef068D779DF1C4784598c33F : 1,486.58
0x45F9C188a212168F8e450597702D0182d0328A9e : 1,482.72
0xE9CB46E2AF4EFfBde62838125aDc825c3c06Aad2 : 1,449.94
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 1,438.42
0x10992b978435f7DE7DfAfB90A2162129aF68A851 : 1,425.22
0xebE2f6278F8382D16855cf4c441858973329527f : 1,334.9
0x40B3c634330bBb0f53864CF3a08aC70F3bF93F22 : 1,326.56
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 1,301.28
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 1,296.11
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 1,240.3
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 1,208.48
0x245Ab426A39Ab67E7969aCFcbCC6C93180Fa6e2b : 1,184.41
0x1528C6c78b880f1E57F7126693709AECbb1B21a1 : 1,180.51
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 1,175.93
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 1,162.92
0xE8A328939B37cBBcFe31c333b9480B0D81D138fa : 1,111.64
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 1,101.1
0x4c510f2e09709B4206aBA75caeCdF1cE2cfDDa68 : 1,083.66
0x113f1177e9C642Cc139f30c8EE64052A5Be3831d : 1,080.36
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 1,080.14
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 1,067.54
0x52Fa3C236C9643236c30ca05B41bB6D960472057 : 1,066.15
0x20D7957A50a16b9561faf24e28b6c6fF3d85d272 : 1,047.94
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 1,039.24
0x83694b5ce034CD7F664b28e1c69FD9D2b35BD1e0 : 1,037.02
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 1,023.95
0x4618c87Bf6f504DC27BAef206F6330031834a7Ea : 1,021.93
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 1,005.11
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 988.67
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 933.56
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 926.81
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 924.88
0x6c59EB74717bacfA1AcB912e48D1253205c4c25b : 904.31
0x854a9d08dFCDb1A851C78d4A99C9DAa72329D767 : 903.22
0x487DBdb932b100a126bAfDd15a0A71bAF5673057 : 884.2
0x6F973d88A48Cf0Ac6e06c356B15e3a295Cf3B10B : 879.81
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 853.16
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 829.9
0xA050a86c30c9Ba3561F6882893F860c6E8565C9E : 798.28
0xFada42d241C9a4dF5a4149B4969aF9EBcDffE3dc : 787.63
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 778.81
0x19A5307282bfF6763051049D92A8FBaf76227706 : 761.13
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 758.15
0x1e1df988329853CF30603551E87DB661cECa9cDf : 757.99
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 734.34
0x165C761F496e78407CD93ddEAc116Fb8DA2a7E5F : 732.36
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 721.23
0xf4b1950d6f198a8Ac3d9b814F2D9BbddC14f43bc : 694.64
0x0D47d291F3DeDDcE8bDD3b8A702ee0D517d681ff : 691.34
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 689.49
0x6E298A37f937666dc6A24A900B5AcD1E359094Fd : 683.35
0xeA4F3A01367BcFc0CA922B728fa36d4C17d8bA90 : 680.81
0x6141295479cB84Ddd9703ac58A0cD00fB5bfEC89 : 671.03
0x11BA31A6baCa2C42002c134B028383916E520B0C : 665.04
0x162D0641c7bb640A28714DF7327cAbF48E78e12C : 641.93
0x25D311fcb8Fe7016b657bADF38D207C550E9552a : 641.4
0xd98C9123De3f80A3CE73161796019D91dbe1EFeD : 637.29
0xE23B9d4f61A5016Fc02961e6347C177496F81Ec3 : 628.71
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 619.16
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 617.38
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 606.19
0xF1c42C093B99039cf39A870c8634bE409F9099DA : 583.87
0x64e4736c58724Eb7c7e2681Dd46b40bEb5C9d482 : 581.03
0x9f2A325581f26cc0Ef573Dee3AA797f05Ad8CaBc : 558.92
0xd89078000e820B42693714dE25e6C59695Dbc651 : 527.59
0xF0737CbCa62778CC9e63Fbc31BA7d364bC36298b : 524.75
