MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x05554d90969f34db3f7619dbc0e0f11dd71342d23355ef07253dec1a61c00aac

Moon Base (Top Place)
https://polygonscan.com/tx/0x1651cbe82dd1362e17ec6fa939fc3c7bfef98fc59b9d19e8e97270e82ae22797

NFT Artwork Card (Highest Net Worth as a Palindrome)
https://etherscan.io/tx/0xb28df5798ac968ff84be4d0e70ac9f820b6aeb15191a6ccd284d18e60903c902
https://etherscan.io/tx/0x08948fd45ddf7cb56e4d0563c685d9352d5cfef12ab9a7d4a2e492aa25de4c1a
https://etherscan.io/tx/0xababacc0eebf4239b477a145769b5b0a0db1e058a53750557b9e38a0e7021fda

TOKEN DISTRIBUTION
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0x60364DFeB197e00138711155f47eC2c5cC6698E9 : 2,495.25
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 2,479.06
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 2,407.1
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 2,108.81
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 2,039.12
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,034.17
0x170B9BF702994C10Dd249fef9BDE75211c3A7342 : 1,880.34
0x0F10fBb14316C1F5f38c1dC6bf70591afec4bc6c : 1,821.94
0x1B9b9877cF01a149A12513Ee44259BA6d5510C01 : 1,817.26
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 1,812.04
0x98edEe1C13B73f26494eA1a4C998B560c1737cCf : 1,767.52
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 1,707.45
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 1,694.97
0xb828812ba9cdB61790dC4238C386294640FA9989 : 1,647
0xccE17e1841e164bB908C7059a723E878752cA575 : 1,633.86
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 1,622.79
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 1,621.02
0x9e1EA9a3D5fC5e85f6F7d0A202BFCc3e3FBaeDc5 : 1,615.11
0xaCAe03CDbc0aF96A43F97dFD40E5EaeB0Ebf2E2F : 1,577.05
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 1,563.99
0x45F9C188a212168F8e450597702D0182d0328A9e : 1,551.18
0x11BA31A6baCa2C42002c134B028383916E520B0C : 1,516.94
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 1,404.95
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 1,355.54
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 1,289.21
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 1,264.61
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 1,243.33
0x95DFc6eCFE5556428f1DcC5a3EfE99617beC2D1A : 1,240.19
0x4618c87Bf6f504DC27BAef206F6330031834a7Ea : 1,219.05
0x6E298A37f937666dc6A24A900B5AcD1E359094Fd : 1,204.61
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 1,204.16
0x369B6BB33f308B8e33E018602c9600e8313176DA : 1,170.8
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 1,165.03
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 1,119.31
0xc829D3ED131ce84147f427820f4081B39e9AF4fA : 1,108.01
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 1,099.11
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 1,080.52
0x37eD5ccC0abb365F041AD5A3f275A40f5aa0dD4b : 1,006.12
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 1,003.04
0xebE2f6278F8382D16855cf4c441858973329527f : 1,000.73
0x52Fa3C236C9643236c30ca05B41bB6D960472057 : 991.18
0xd89078000e820B42693714dE25e6C59695Dbc651 : 988.77
0x84424208C4a885fD8Bb5aE26D96e38d1A972d58d : 972.61
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 857.51
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 842.55
0x9F70CD9441bE2f599f1851e10e14238e0E641806 : 826.36
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 823
0x2E642515418E70A35D1442667860Ec4752370d83 : 818.06
0x50d084867477065f9A3c279eB6DcEA55A142ae81 : 795.02
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 788.66
0x9f2A325581f26cc0Ef573Dee3AA797f05Ad8CaBc : 778.71
0x5A5736B81f4045Be18Bf595dF4acdaB550575036 : 777.32
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 768.32
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 763.12
0x504385A4E61681255d056d2767C6cAA8f69cEc41 : 735.73
0xa52c7e9BdCc973Fb4Bab286924893193479C9703 : 716.69
0xeA4F3A01367BcFc0CA922B728fa36d4C17d8bA90 : 693.82
0x83c972ef4a35F842559a915571D380849b1c7315 : 692.12
0x72d59fa86133D75E5E7C4F32AA90516BDBD605A1 : 674.02
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 663.39
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 651.84
0x4B5663BA11211f0CE3Faa16961e17323FbaE4AE3 : 648.86
0x854a9d08dFCDb1A851C78d4A99C9DAa72329D767 : 639.55
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 634.29
0x13482B3080D0EFF689054A65f0A869B3EA4d3654 : 622.9
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 621.9
0x6726d208bA943B20933491FF004AA7188b70ae79 : 607.78
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 602.29
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 598.4
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 589.86
0xF1c42C093B99039cf39A870c8634bE409F9099DA : 583.05
0x7f93410CC1E6Ebb22357845D490dF00BCD5BB1Ec : 576.31
0x51064563ED35a1255F9282D5dd72755bDf812247 : 569.85
0xbB2211E2b4971BD7483bB340A03B19Fb7Db3b5a1 : 562.31
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 558.44
0xDB5f2319Fc6529771F3a87292545F28088878947 : 550.48
0xb3AEF5e10899FD6CD6CC7C4276dB1E7f2360607B : 539.26
0xE23B9d4f61A5016Fc02961e6347C177496F81Ec3 : 527.59
0xCAEf89d97b74a5bF3B9102A8828Cd0092F0949Fd : 527.54
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 514.81
0x341f00c1b2B236EF26527590EC62F5960A356052 : 493.42
0x300407a0d927BB54c54AE65af3A1e602D4DCf50a : 492.58
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 469.01
0xDA1EBF6dAAa150141C92a0E809747985C0a0C2C8 : 462.4
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 435.69
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 430.47
0x634334d0258e8F79304A2Ac7F7d5e149b558e0c4 : 429.87
