*NOTE* 
Airdrop for Round 56 were distributed based on a snapshot at block 13,000 due to an error with the MNN. All other prizes were postponed until Round 57.

MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x62283f43fb14e8a43a71f6808e36962cee778817b16bde6a82def27b3f314641

TOKEN DISTRIBUTION
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x8894D002b2362B9C3B74aA9e2109A8B49Af7EeF6 : 2,500
0x541D847B9276b5c78836313e2699BD5684615F5E : 2,500
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 2,500
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 2,500
0x46bC5004a5e26226AEf842babd31015d28267411 : 2,500
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,491.6
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,344.19
0x504385A4E61681255d056d2767C6cAA8f69cEc41 : 2,338.63
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,310.08
0x57503Fa42086300CdA9fCEe6FA95915F5bb04680 : 2,285.51
0xB9e55A3C2a0F47189b22f9DE2852005fb2F885ea : 2,258.84
0x840373D882bd4F674FFe49e1D3e511C2739431bc : 2,187.9
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,130.87
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,038.92
0xC9Ca98b597b742c28156cFbC079D99FFBEe6ad44 : 1,997.09
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 1,996.99
0x75d0801e171de3b98eE83a606294f2bf36488468 : 1,994.12
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 1,959.82
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 1,910.68
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 1,873.89
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 1,826.75
0xE952ffe541D1cF7cD66B17a98A737751f5375613 : 1,803.46
0xA1D211133Ef184c8E8E12fb287948862625120F1 : 1,764.53
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 1,749.93
0xe66a242B0320F665DDd91F89a2038d7282C66122 : 1,733.37
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 1,686.38
0x9F70CD9441bE2f599f1851e10e14238e0E641806 : 1,665.84
0xC4044e17cdbfe618dfc54Cf32CD77569599F41Ce : 1,657.35
0xaCAe03CDbc0aF96A43F97dFD40E5EaeB0Ebf2E2F : 1,654.91
0xBc9b2293D6fe45281Aa2DB5b1f12cFDF12e75EEd : 1,651.11
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 1,639.44
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 1,613.1
0xf7332d37cFf80C4876247d2C85569EbD04B9338c : 1,604.99
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 1,597.5
0x3FEEceb51da9b73571b21036AEd0868aA20Fb91b : 1,583.27
0x486743D0B9B78f48dd15DeA8d1BBfEfeF2E60C0a : 1,580.74
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 1,535.06
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 1,524.15
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 1,504.07
0x7d29140017Cfe844f977334F20CDdF8538474E12 : 1,494.13
0xebE2f6278F8382D16855cf4c441858973329527f : 1,491.52
0xB164fe52D066ECFa1Bda8932DEDE5cE843860E3F : 1,475.99
0xafa9370bA478D5484D90528A4C7b8Df7ea0FD10c : 1,337.02
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 1,326.57
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 1,321.05
0x4A994698e77c355eA2C8304Aa7f881b0d0778C7E : 1,301.72
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 1,296.86
0x1654C68170970964171c0227748c770c5E1e6f6E : 1,282.76
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 1,279.36
0x113f1177e9C642Cc139f30c8EE64052A5Be3831d : 1,275.08
0x3207b5178da3d3d264cd05F30852f7B1B52581c2 : 1,259.24
0x88AA89C847204601495586AB9b082Ab67f63CfB9 : 1,248.81
0xC799A6C9337D7979293f4b65C281143C0847db59 : 1,238.63
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 1,238.61
0x3B6849dbC265d4Ed2e454b38890Ca514E210846a : 1,222.82
0xd98C9123De3f80A3CE73161796019D91dbe1EFeD : 1,207.84
0xC6B2234F63d2DbF925217D00702be8771fa45DF7 : 1,196.18
0x9BDe0C23a1B18E41fC86a2BB495e9bC0235DcFB8 : 1,158.45
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 1,140.16
0x73a17ee54B26505A3FBc6c103FDe374982B21039 : 1,109.95
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 1,104.55
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 1,082.94
0x71F6276e343E09cFBb1ACa339CdaA56249aC0C5F : 1,068.23
0x7aDff1Dc5b78d57Df458b4DB3ED75d2a80382Fee : 1,060.27
0xe3B0bAa2a926e846402E21AE72629312C700A984 : 999.8
0x0ee1dcb705F85cEF0c13f13D72d12CDb526Cb479 : 989.95
0x300407a0d927BB54c54AE65af3A1e602D4DCf50a : 966.21
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 952.69
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 943.78
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 943.23
0x426a7bEf9C37779eB20CB2010a5b3921443683D6 : 939.12
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 933.98
0x714d5A6cD567323b1c473d17cCa258ac59D58f84 : 931.39
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 921.22
0xc6E97134Ca20966E83f7CC2921E0Aaf7F67E5239 : 910.99
0x75ed79867fA79E6cceB0327bc303A265E3AB93cd : 908.66
0x3E67649239FefA4A065dA809157a24ea7aBc4B02 : 902.36
0x60364DFeB197e00138711155f47eC2c5cC6698E9 : 890.65
0x647A02F63e85cBDaA33406B71E548eA5D25409C7 : 884.81
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 848.85
0x0eB5f43D32361cB919D9a4f11339ee834942df67 : 835.5
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 835.42
0x51064563ED35a1255F9282D5dd72755bDf812247 : 834.97
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 828.16
0x411b5aDc82b598D087a680824c4fa4C6fd0a89CD : 817.91
0x07E8C952De6a8885768327D9878C7E98825986a4 : 806.42
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 805.39
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 793.53
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 791.77
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 791.16
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 783.76
0x636CAA6Ab025Ce80fb05ED5885d7D1d88261bA41 : 781.66
0x5b5AD1f44D4CA5c64457Dc73bf4a69B09C52b87e : 773.77
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 760.32
0xccE17e1841e164bB908C7059a723E878752cA575 : 757.67
0x2f15d2929efC36cB7d9d8B40E364897F77f5e299 : 747.86
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 747.17
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 745.17
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 722.34
0xe93A86e81d26697e5026aAE1b21e8159ed95F924 : 703.54
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 694.74
0xF40a7E8478B18C79E0f3427C944daE68b4eE1048 : 688.54
0x685269f0262BA5Ac81EbaB85245cCA51E18299C1 : 681.25
0xbD44793C476F7A2061229a54bc341efC554d8D03 : 677.65
0x02Fa741C2a038B421CA26d4Cb6f99887AF784f94 : 671.26
0x656ffE0968fEAA73A9c5329FAbAfC7c04449B198 : 671.07
0x82588bED33DBcd8EEc164F6E85cf24C898237bb7 : 670.49
